entity,entity_id,home_community,communities_connected,community_ids,documented_connections,bridge_score
Jeffrey Epstein,PER-00728,7,17,0; 1; 2; 5; 7; 9; 12; 14; 15; 22; 23; 28; 37; 39; 58; 64; 78,799,13583
Ghislaine Maxwell,PER-00587,1,12,0; 1; 2; 5; 7; 9; 12; 14; 23; 37; 39; 58,326,3912
Trump,PER-07703,2,9,0; 1; 2; 5; 7; 9; 12; 14; 23,276,2484
Hillary Clinton,PER-04744,2,10,0; 1; 2; 5; 7; 9; 12; 14; 23; 78,143,1430
Alan Dershowitz,PER-07715,9,8,0; 1; 2; 7; 9; 12; 14; 58,159,1272
United States Of America,LOC-01893,2,8,0; 1; 2; 7; 9; 14; 23; 69,119,952
Barack Obama,PER-00152,2,8,0; 1; 2; 5; 7; 9; 12; 39,110,880
Alison J. Nathan,PER-05397,1,7,0; 1; 2; 5; 7; 9; 39,96,672
Ehud Barak,PER-00502,2,6,0; 1; 2; 7; 14; 39,106,636
Virginia Giuffre,PER-01496,1,7,0; 1; 2; 7; 9; 14; 23,88,616
Sarah Kellen,PER-01340,14,6,1; 2; 7; 9; 12; 14,93,558
Bradley Edwards,PER-00201,9,6,1; 2; 7; 9; 14; 23,90,540
Richard Kahn,PER-01280,7,8,0; 1; 2; 5; 7; 9; 14; 39,60,480
Larry Summers,PER-00889,7,8,0; 1; 2; 7; 9; 12; 14; 58,48,384
Steve Bannon,PER-01400,2,4,0; 2; 7; 9,95,380
Lesley Groff,PER-00911,7,7,0; 1; 2; 7; 9; 12; 14,51,357
Eva Dubin,PER-00531,7,6,1; 2; 7; 9; 12; 14,59,354
Edward Snowden,PER-13575,2,5,0; 2; 7; 9; 58,68,340
Jean-Luc Brunel,PER-00714,14,6,0; 1; 2; 7; 9; 14,55,330
Emmy Tayler,PER-00521,1,5,1; 7; 9; 12; 14,65,325
Michael Wolff,PER-01038,2,7,0; 1; 2; 7; 9; 39; 63,46,322
Larry Visoski,PER-00890,14,6,1; 2; 5; 7; 9; 14,52,312
"Andrew, Duke of York",PER-19401,7,6,1; 2; 7; 9; 14; 39,47,282
Darren K. Indyke,PER-00364,7,6,1; 2; 7; 9; 14; 23,45,270
Laura Menninger,PER-00892,1,6,1; 2; 5; 7; 9; 23,45,270
David Rodriguez,PER-03301,12,6,1; 2; 7; 9; 12; 14,44,264
Paul Cassell,PER-01189,9,6,1; 2; 7; 9; 14; 23,44,264
Federal Bureau of Investigation Forensics Laboratory,ORG-01145,9,6,0; 1; 2; 7; 9; 14,43,258
Richard Berman,PER-01271,7,5,1; 2; 7; 9; 28,50,250
Jeffrey S. Pagliuca,PER-00734,1,5,1; 2; 5; 7; 9,49,245
Reid Weingarten,PER-01262,2,5,1; 2; 7; 9; 15,46,230
Israel,LOC-00887,2,4,0; 2; 7; 9,57,228
Sigrid McCawley,PER-01373,1,5,1; 2; 7; 9; 23,42,210
Alexander Acosta,PER-00073,9,5,0; 1; 2; 7; 9,42,210
Bobbi C. Sternheim,PER-00192,1,6,1; 5; 7; 9; 37; 39,35,210
Gwendolyn Beck,PER-00612,7,6,1; 2; 7; 9; 12; 14,35,210
Maurene Ryan Coney,PER-06594,1,5,1; 2; 5; 7; 9,41,205
Nadia Marcinkova,PER-01127,14,4,1; 7; 9; 14,50,200
Court,LOC-00448,9,5,1; 2; 7; 9; 14,40,200
Peggy Siegal,PER-01201,7,7,0; 2; 7; 14; 39; 49; 78,28,196
Jared Kushner,PER-01558,2,4,0; 2; 7; 9,47,188
Sophie Biddle,PER-01382,12,4,1; 7; 12; 14,45,180
Jack Scarola,PER-00683,9,6,1; 2; 5; 7; 9; 14,29,174
Joseph Recarey,PER-03532,9,6,1; 2; 7; 9; 12; 14,28,168
Lara Elizabeth Pomerantz,PER-00882,1,4,1; 5; 7; 9,41,164
Susan Elizabeth Brune,PER-01424,5,4,1; 5; 7; 9,41,164
United States Congress,ORG-03389,2,4,2; 7; 8; 58,41,164
Palm Beach Police Department,ORG-02506,9,5,1; 2; 7; 9; 14,32,160
Larry Morrison,PER-00886,14,4,1; 7; 9; 14,40,160
U.S. Department of Justice (DOJ),ORG-03290,2,4,2; 7; 9; 14,39,156
Jack Goldberger,PER-01081,7,5,1; 2; 7; 9; 14,31,155
New York Times,LOC-01308,2,5,0; 1; 2; 7; 9,30,150
Alfredo Rodriguez,PER-00080,9,5,1; 2; 7; 9; 14,29,145
Martin Weinberg,PER-00979,9,4,1; 2; 7; 9,36,144
White House,LOC-01994,2,4,2; 7; 9; 12,34,136
Christian R. Everdell,PER-00294,1,4,1; 2; 7; 9,34,136
Jay Lefkowitz,PER-00706,9,4,1; 2; 7; 9,34,136
Alexander Rossmiller,PER-00075,1,4,1; 2; 7; 9,33,132
Paul Krassner,PER-01193,2,4,0; 2; 7; 9,33,132
media organizations,ORG-03713,2,6,0; 1; 2; 7; 9; 14,21,126
Leslie Wexner,PER-00914,7,5,1; 2; 7; 9; 12,25,125
David Boies,PER-00373,1,5,1; 2; 5; 7; 9,25,125
