relationship_id,source_name,target_name,relationship_type,weight,num_sources,evidence_points,num_documents_total,docs_rhowardstone,docs_epstein_docs,docs_doc_explorer,docs_corpus,source_systems,evidence_classes,corroboration_score
7,Jeffrey Epstein,Lesley Groff,communicated_with,214.0,4,3.9,40,0,8,3,20,"corpus,doc-explorer,epstein-docs,rhowardstone","cooccurrence,corpus_cooccurrence,curated,rdf",0.971
12,Jeffrey Epstein,"Andrew, Duke of York",associated_with,186.0,4,3.9,225,2,3,21,20,"corpus,doc-explorer,epstein-docs,rhowardstone","cooccurrence,corpus_cooccurrence,curated,rdf",0.971
5,Jeffrey Epstein,Wilbur Ross,associated_with,291.0,3,3.4,23,0,0,5,14,"corpus,doc-explorer,rhowardstone","corpus_cooccurrence,curated,rdf",0.949
6,Sheldon Barr,Jeffrey Epstein,associated_with,236.0,3,3.4,25,1,0,2,20,"corpus,doc-explorer,rhowardstone","corpus_cooccurrence,curated,rdf",0.949
40,Jeffrey Epstein,Eva Dubin,associated_with,136.0,3,3.4,58,2,0,18,20,"corpus,doc-explorer,rhowardstone","corpus_cooccurrence,curated,rdf",0.949
20,Jeffrey Epstein,Larry Visoski,traveled_with,128.0,3,3.4,24,0,0,2,20,"corpus,doc-explorer,rhowardstone","corpus_cooccurrence,curated,rdf",0.949
26,Jeffrey Epstein,Larry Visoski,associated_with,100.0,3,3.4,99,0,0,27,4,"corpus,doc-explorer,rhowardstone","corpus_cooccurrence,curated,rdf",0.949
53,Jeffrey Epstein,Hillary Clinton,associated_with,55.0,3,3.4,273,1,0,36,37,"corpus,doc-explorer,rhowardstone","corpus_cooccurrence,curated,rdf",0.949
54,Alan Dershowitz,Jeffrey Epstein,associated_with,49.0,3,3.4,260,1,0,21,39,"corpus,doc-explorer,rhowardstone","corpus_cooccurrence,curated,rdf",0.949
70,Jeffrey Epstein,Trump,associated_with,38.0,3,3.4,256,1,0,20,36,"corpus,doc-explorer,rhowardstone","corpus_cooccurrence,curated,rdf",0.949
