entity_a,entity_b,shared_neighbor_count,shared_neighbors,priority_score
Jeffrey Epstein,Jeffrey Epstein's residence,17,Jean-Luc Brunel; Al Gore; Juan Alessi; Peter Thiel; Mort Zuckerman; Joseph Recarey; Virginia Giuffre; Kathryn Ruemmler; Johnson; Alfredo Rodriguez,13872
Jeffrey Epstein,Kelly Bovino Umekubo,15,"Alison J. Nathan; Sophie Biddle; Jane, Annie, Kate, Carolyn, Virginia, and Melissa; Maurene Ryan Coney; Cocoa Brown; Christian R. Everdell; Jeffrey S. Pagliuca; Lara Elizabeth Pomerantz; Damian Williams; Andrew Rohrbach",12315
Jeffrey Epstein,Syria,14,Barack Obama; Mohammed bin Salman; White House; Russia; United States Of America; China; Hillary Clinton; Recep Tayyip Erdoğan; Turkey; Ehud Barak,11536
Jeffrey Epstein,Sterntheim,12,Alison J. Nathan; Juror Number 50; Maurene Ryan Coney; Jeffrey S. Pagliuca; Susan Elizabeth Brune; Lara Elizabeth Pomerantz; Damian Williams; Andrew Rohrbach; Laura Menninger; Ghislaine Maxwell,9816
Jeffrey Epstein,Reince Priebus,11,James Comey; Jared Kushner; White House; Mike Pence; Tom Barrack; Lieutenant General Michael T. Flynn; Steve Bannon; Anthony Scaramucci; Michael Wolff; Landon Thomas Jr.,8987
Jeffrey Epstein,Shimon Peres,10,Barack Obama; United States Of America; Iran; Islamic extremism and ISIS; Hillary Clinton; Recep Tayyip Erdoğan; Ehud Barak; Israel; Benjamin Netanyahu; Ehud Olmert,8330
Jeffrey Epstein,Bashar al-Assad,10,Terje Rød-Larsen; Barack Obama; White House; Iran; United States Of America; Hillary Clinton; Recep Tayyip Erdoğan; Ehud Barak; Israel; Ehud Olmert,8220
Jeffrey Epstein,Glenn Greenwald,10,Barack Obama; United States Of America; Brazil; Nsa; The Guardian; Laura Poitras; Unknown Saudi journalist; State Of New York; New York Times; Edward Snowden,8160
Trump,Ehud Barak,20,Vladimir Putin; Jeffrey Epstein; United States Of America; Iran; Larry Visoski; State Of New York; U.S. President; China; 45th President of the United States; Tony Blair,7640
Jeffrey Epstein,Yasser Arafat,9,Mohammed bin Salman; United States Of America; George H.W. Bush; 45th President of the United States; Hillary Clinton; Paris-LeBourget; Ehud Barak; Israel; Benjamin Netanyahu,7425
Trump,Sarah Kellen,20,David Rodriguez; Alan Dershowitz; Jeffrey Epstein; media organizations; Juan Alessi; Jane Does; Peggy Siegal; Darren K. Indyke; Mark Epstein; Alfredo Rodriguez,7380
Jeffrey Epstein,Yitzhak Rabin,8,United States Of America; Mort Zuckerman; Hillary Clinton; Alan Dershowitz; Daniel Siad; Ehud Barak; Israel; Benjamin Netanyahu,6632
Jeffrey Epstein,Egypt,8,Barack Obama; Iran; United States Of America; Islamic extremism and ISIS; United States Egypt policy; Ehud Barak; Kingdom of Saudi Arabia; Israel,6592
Jeffrey Epstein,Bank of America Merrill Lynch,8,Bloomberg News; United States Of America; Brazil; Amazon.com; Amanda Ens; Turkey; Kingdom of Saudi Arabia; Trump,6584
Jeffrey Epstein,Desiree Washington,8,Vladimir Putin; Iran; China; Steve Bannon; Hillary Clinton; Turkey; Ehud Barak; North Korea,6552
Jeffrey Epstein,CIA/BoozAllen,8,Jared Kushner; Vladimir Putin; Lieutenant General Michael T. Flynn; Nsa; Dominique Strauss-Kahn; Edward Snowden; Cathy; Trump,6520
Jeffrey Epstein,Paula Epsilon,7,David Rodriguez; Sophie Biddle; Elizabeth (Libit) Johnson; Sarah Kellen; Heather Mann; Peter Marino; Former Senator George Mitchell,5754
Jeffrey Epstein,Unknown Israeli political leader,7,Barack Obama; United States Of America; Iran; Islamic extremism and ISIS; Hillary Clinton; Kingdom of Saudi Arabia; Ehud Olmert,5705
Jeffrey Epstein,Palestinians,7,Barack Obama; White House; Hillary Clinton; Ehud Barak; Israel; Benjamin Netanyahu; Ehud Olmert,5698
Jeffrey Epstein,long-range rockets to Hamas,6,Barack Obama; Iran; Qatar; Ehud Barak; Israel; Benjamin Netanyahu,4932
Ghislaine Maxwell,Valdson Cotrin,14,Tatiana Kovylina; Nadia Marcinkova; Steve Lester; Gary Blackwell (Pilot); Andrea Mitrovich; Igor Zinoviev; Sarah Kellen; Larry Visoski; Adriana Ross; Bill Hammond,4788
Trump,Trump administration,16,Ben Rhodes; Tom Barrack; Mitchell Bard; Lieutenant General Michael T. Flynn; John Kelly; Alexander Acosta; Gary Cohn; Steve Bannon; Robert Mueller; Jeremy Rubin,4736
Trump,Alison J. Nathan,12,Juan Alessi; Darren K. Indyke; Virginia Giuffre; Jack Scarola; Alfredo Rodriguez; Bradley Edwards; Richard Kahn; Eva Dubin; Reid Weingarten; Jeffrey Epstein,4464
Trump,Martin Weinberg,14,Cnn; Darren K. Indyke; Kathryn Ruemmler; Matthew Mosk; Federal Bureau of Investigation Forensics Laboratory; Richard Kahn; Alan Dershowitz; David Ingram; Ghislaine Maxwell; Reid Weingarten,4368
Ghislaine Maxwell,Jack Goldberger,12,Jane Does; Jay Lefkowitz; Sarah Kellen; Virginia Giuffre; Joseph Recarey; Jack Scarola; Ms.Villaflana; Alan Dershowitz; Jeffrey Epstein; civil lawsuit,4284
Jeffrey Epstein,Theresa Trzaskoma,5,Alison J. Nathan; Susan Elizabeth Brune; David Boies; Ghislaine Maxwell; Jack Scarola,4125
Jeffrey Epstein,"William H. Pauley, III",5,Alison J. Nathan; Susan Elizabeth Brune; Hillary Clinton; Danny Hillis; Ghislaine Maxwell,4090
Jeffrey Epstein,Ariel Sharon,5,Terje Rød-Larsen; Israel; Ehud Barak; George H.W. Bush; Benjamin Netanyahu,4085
Jeffrey Epstein,Hezbollah,5,Terje Rød-Larsen; Iran; Ehud Barak; Kingdom of Saudi Arabia; Israel,4070
Ghislaine Maxwell,Federal Bureau of Investigation Forensics Laboratory,11,Jean-Luc Brunel; Virginia Giuffre; Alfredo Rodriguez; Virginia; Palm Beach Police Department; Charlie Rose; Alan Dershowitz; Martin Weinberg; Jeffrey Epstein; New York (E.D.N.Y.),4059
Trump,George H.W. Bush,13,Barack Obama; Mohammed bin Salman; Mahmoud Abbas; Iran; United States Of America; Viktor Orban; Arthur B. Laffer; 45th President of the United States; Kenneth Starr; Paul Krassner,3965
Ghislaine Maxwell,Kathryn Ruemmler,11,Barack Obama; Jeffrey Epstein's residence; United States Of America; Darren K. Indyke; Hillary Clinton; Michael Wolff; State Of New York; Martin Weinberg; Reid Weingarten; Jeffrey Epstein,3883
Trump,Paul Cassell,12,"address book; United States Of America; U.S. Department of Justice (DOJ); Virginia Giuffre; Leslie Wexner; M. Roberts; Andrew, Duke of York; Bradley Edwards; Alan Dershowitz; Jeffrey Epstein",3840
Alan Dershowitz,Alison J. Nathan,15,Juan Alessi; Farmer; Sarah Ransome; Darren K. Indyke; Virginia Giuffre; Alfredo Rodriguez; Laura Menninger; Bradley Edwards; Sigrid McCawley; Richard Kahn,3825
Ghislaine Maxwell,Steve Bannon,9,United States Of America; Trump; Charlie Rose; Michael Wolff; Richard Kahn; Reid Weingarten; Jeffrey Epstein; media organizations; Larry Summers,3789
Alan Dershowitz,Lesley Groff,18,Matthew I. Menchel; Juan Alessi; Nadia Marcinkova; Larry Summers; Joi Ito; United States Of America; Martin Nowak; Darren K. Indyke; Sarah Kellen; Larry Visoski,3780
Ghislaine Maxwell,U.S. Department of Justice (DOJ),10,Jean-Luc Brunel; Jay Lefkowitz; Marie Villafana; Trump; Paul Cassell; Bradley Edwards; Richard Kahn; Jeffrey Epstein; Alexander Acosta; Jack Scarola,3650
Trump,Jean-Luc Brunel,11,Jeffrey Epstein's residence; U.S. Department of Justice (DOJ); Darren K. Indyke; Virginia Giuffre; Larry Visoski; Federal Bureau of Investigation Forensics Laboratory; Bradley Edwards; Jacquie Johnson; Jeffrey Epstein; Ghislaine Maxwell,3641
Alan Dershowitz,Steve Bannon,14,Mike Pence; White House; United States Of America; Robert Trivers; Trump; Charlie Rose; Sheldon Adelson; House Judiciary Committee; Michael Wolff; Richard Kahn,3556
