relationship_id,source_name,target_name,relationship_type,weight,num_sources,evidence_points,num_documents_total,docs_rhowardstone,docs_epstein_docs,docs_doc_explorer,docs_corpus,source_systems,evidence_classes,corroboration_score,max_entity_prominence
6271,Jeffrey Epstein,Lafayette High School yearbook,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
6288,Jeffrey Epstein,Wall Street Rising concert series at Cipriani,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
6346,Jeffrey Epstein,partner of Bradley Edwards,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
6347,Jeffrey Epstein,his allegations against Bradley Edwards,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
6426,Alexander Acosta,Jeffrey Epstein,represented_by,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
6431,Jeffrey Epstein,Kenneth Starr and Joe Whitley,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
6461,Jeffrey Epstein,"Ghislaine Maxwell, Virginia Roberts, and ET",associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
6464,Jeffrey Epstein,privilege claims during deposition,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
6478,Jeffrey Epstein,Eben Cassell,associated_with,2.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
6935,Jeffrey Epstein,legal petition to prosecutors,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
6984,Thailand,Jeffrey Epstein,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7037,Jeffrey Epstein,Unknown female associate,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7052,Jeffrey Epstein,State Attorney's Office for 15th Judicial Circuit,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7061,Jeffrey Epstein,Jane Doe No. 1's parents (HOUSE_OVERSIGHT_012197_part6) (HOUSE_OVERSIGHT_012197_part6),associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7065,Jane Doe No. 4,Jeffrey Epstein,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7071,Andrew Oosterbaan,Jeffrey Epstein,associated_with,3.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7150,Jack P. Hill,Jeffrey Epstein,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7159,Jeffrey Epstein,Phaedra Xanthos,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7160,Jeffrey Epstein,Ronald Wise,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7305,Ben Goertzel,Jeffrey Epstein,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7359,Jeffrey Epstein,Bradley Edwards and other innocent firm attorneys,associated_with,2.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7381,Jeffrey Epstein,specific allegations against Edwards,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7383,Jeffrey Epstein,relationship with Donald Trump,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7385,Jeffrey Epstein,relationship with Alan Dershowitz,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7386,Jeffrey Epstein,sexual assault of children,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7389,Jeffrey Epstein,sexual assault on private aircraft,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7390,Jeffrey Epstein,flight logs containing celebrity names,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7399,Andrés Pastrana Arango,Jeffrey Epstein,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7407,Jeffrey Epstein,sex offender registration and house arrest,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7409,Jeffrey Epstein,18 months imprisonment with work-release privileges,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7498,Jeffrey Epstein,allegations of child molestation,associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7499,Jeffrey Epstein,Jane Doe against Jeffrey Epstein (HOUSE_OVERSIGHT_010566) (HOUSE_OVERSIGHT_010566),associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7713,Jeffrey Epstein,Household Account (Palm Beach National Bank),associated_with,2.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7716,Jeffrey Epstein,"44 Kinnerton Street, London, United Kingdom",associated_with,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7717,Jeffrey Epstein,Lucian and Rosshi Mckawa (household staff),employed_by,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
7718,Jeffrey Epstein,"Pierre, Jerome",employed_by,1.0,1,1.0,2,0,0,1,0,doc-explorer,rdf,0.514,3525
